cow,date,hour,IN_ALLEYS,REST,EAT,ACTIVITY_LEVEL,oestrus,calving,lameness,mastitis,LPS,acidosis,other_disease,accidents,disturbance,mixing,management_changes,OK
6613,2019-01-08,22,731.175,2176.947,691.872,-93.12357,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-08,23,978.643,0,2621.351,1257.5503,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-09,0,1047.571,2468.805,83.618,-365.09423,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,1,649.223,2950.771,0,-574.80165,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,2,1502.502,1734.462,363.03,-6.05334,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,10,209.071,1395.772,1995.151,550.38722,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,11,220.031,2040.873,1339.09,128.22197,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-15,1,152.686,2849.018,0,-630.84438,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-15,2,103.984,2673.244,0,-598.20868,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-15,3,58.551,3244.917,0,-736.96275,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-15,4,106.624,1887.857,0,-417.14727,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-15,5,77.386,3022.615,0,-682.81969,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-09,12,268.709,3181.498,149.787,-625.84056,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,13,1227.491,1266.272,1106.231,369.77302,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,14,605.11,706.65,2288.234,895.34638,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,15,847.348,175.543,2577.103,1177.58405,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,16,2030.914,19.147,1549.933,971.51429,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,17,212.895,3384.913,2.186,-743.54867,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,18,454.545,3145.449,0,-650.72607,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-09,19,20.229,3579.765,0,-820.10931,0,0,0,0,0,NA,0,0,1,1,0,0
6674,2018-12-03,21,936.22,363.321,2295.012,1030.13641,0,0,0,0,0,NA,0,0,1,1,0,0
6674,2018-12-03,22,431.246,2232.294,936.454,-51.11758,0,0,0,0,0,NA,0,0,1,1,0,0
6674,2018-12-03,23,289.632,3308.177,0,-714.53959,0,0,0,0,0,NA,0,0,1,1,0,0
6613,2019-01-14,19,977.578,43.244,2579.172,1229.7186,0,0,0,0,0,NA,0,0,1,0,0,1
6613,2019-01-14,20,806.646,2446.233,64.061,-406.66461,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-14,21,184.961,3297.92,0,-728.92784,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-14,22,405.506,1732.827,1306.819,215.19473,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-14,23,56966500,197159700,105763800,8188705,0,0,0,0,0,NA,0,0,0,0,0,1
6613,2019-01-15,0,10613800,349385600,0,-78660480,0,0,0,0,0,NA,0,0,0,0,0,1
