cow,date,hour,IN_ALLEYS,REST,EAT,ACTIVITY_LEVEL,oestrus,calving,lameness,mastitis,LPS,acidosis,other_disease,accidents,disturbance,mixing,management_changes,OK
6613,2018-12-03,9,3114.755,0,485.239,702.16118,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,10,1049.151,3.286,2547.557,1237.08232,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,11,2844.106,0,755.888,772.52992,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,12,1792.515,2.733,1804.746,1044.16713,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,13,1340.788,0,2259.206,1163.3926,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,14,2841.45,0,758.544,773.22048,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,15,1977.87,0,1622.124,997.75128,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,16,1329.548,755.878,1514.568,674.9943,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,17,1238.654,530.739,1828.958,844.27703,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,18,1735.191,212.736,1646.603,920.27454,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,19,1878.469,610.578,1110.947,626.71984,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,20,1464.574,1460.312,675.108,182.00544,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,21,1747.495,1135.58,716.919,319.52178,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,22,1259.417,2204.357,136.22,-248.28299,0,0,0,0,0,NA,0,0,0,1,0,0
6613,2018-12-03,23,2388.391,955.399,256.204,270.00647,0,0,0,0,0,NA,0,0,0,1,0,0
6601,2018-10-28,2,370.364117,2960.820935,268.814948,-508.828278,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,3,444.479,3117.16,38.355,-629.72106,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,4,546.278,3052.692,1.024,-614.2846,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,5,949.687,1944.836,705.471,0.93546,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,6,1317.913,939.214,1260.456,524.23838,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,7,2654.24,12.291,933.463,813.90593,0,0,0,0,0,NA,0,0,0,0,0,1
6601,2018-10-28,8,1647.138,994.949,957.907,437.02475,0,0,0,0,0,NA,0,0,0,0,0,1
